IDUnidad,IDClaveUnidad,ClaveAlterna,Borrado,IDPlanta,Planta,CveCiudad,IDMarca,MarcaCamion,IDTipoCombustible,TipoCombustible,IDTipoPlacas,TipoPlacas,Activo,Modelo,NumSerie,Placas
1,BP-02,2BA,0,19,M1-Apodaca,MTY,12,Mercedez Benz,3,Diesel,4,Estatal,0,No Registrado,C2121AM0000368,RD-69-029
2,BP-03,3BA,0,25,MT2-Taller M2,MTY,19,Volvo-White,3,Diesel,4,Estatal,1,No Registrado,1WXDCHBDFN07425,RG-01-502
3,BP-07,7BA,0,24,"MT1-Taller M1 ",MTY,10,Mack,3,Diesel,-1,No Registrado,1,No Registrado,1M2K166CXFM0010,RE-78-652
4,BP-10,ABA,0,24,"MT1-Taller M1 ",MTY,10,Mack,3,Diesel,-1,No Registrado,1,No Registrado,1M2K130C8HM0025,RD-69-030
5,BP-12,CBA,0,24,"MT1-Taller M1 ",MTY,10,Mack,-1,No Registrado,-1,No Registrado,1,No Registrado,1M2K130CXHM002S,RE-62-800
6,CR-16,GRA,0,19,M1-Apodaca,MTY,10,Mack,-1,No Registrado,-1,No Registrado,1,No Registrado,1M2K189C2NM0029,RE-78-875
7,BP-23,PBA,0,19,M1-Apodaca,MTY,10,Mack,3,Diesel,13,SPF,1,No Registrado,1M2K189C0SM0066,RG-01-512
8,CR-244,LRH,0,11,"M4-Centro ",MTY,10,Mack,3,Diesel,4,Estatal,1,1994,1M2K138C5KM006604,RG-6901505
9,CR-192,0RG,0,30,P1-Coronango,PUE,10,Mack,3,Diesel,4,Estatal,1,No Registrado,1M2K189C7RM0052,RD-69-035
10,CR-130_D,CR-7RD,1,25,MT2-Taller M2,MTY,12,Mercedez Benz,3,Diesel,4,Estatal,0,No Registrado,BB3753001914,RF-07-295
11,CR-011_D,CR-BRA,1,15,"M5-Santiago ",MTY,17,Ramirez,-1,No Registrado,-1,No Registrado,0,No Registrado,1672,RE-62-796
12,CR-118,NRD,0,19,M1-Apodaca,MTY,12,Mercedez Benz,-1,No Registrado,-1,No Registrado,0,No Registrado,3AM68511550032794,RE6826A
13,CR-020_D,CR-LRA,1,25,MT2-Taller M2,MTY,5,Famsa Internacional,3,Diesel,4,Estatal,0,No Registrado,20493,RE-78-873
14,CR-032,0RB,0,16,"M6-Juarez ",MTY,4,Dina,3,Diesel,4,Estatal,0,No Registrado,7407725A9,"RE-78-876 "
15,CR-046,ERB,0,18,"M7-Salinas ",MTY,4,Dina,3,Diesel,-1,No Registrado,0,No Registrado,NH471819,RD-69-284
16,CR-070_D,CR-6RC,1,15,"M5-Santiago ",MTY,12,Mercedez Benz,3,Diesel,-1,No Registrado,0,No Registrado,3AM685115500311,RE-62-793
17,CR-084,LRC,0,19,M1-Apodaca,MTY,12,Mercedez Benz,3,Diesel,-1,No Registrado,0,No Registrado,3AM685115500309,RG-01-507
18,CR-167,7RF,0,19,M1-Apodaca,MTY,2,Freghtliner,3,Diesel,4,Estatal,0,2013,3ALHC3DJEDFX5096,RE6220A
19,CR-099_D,CR-3RD,1,11,"M4-Centro ",MTY,8,Internacional,-1,No Registrado,-1,No Registrado,0,No Registrado,3HTSCAAN3VG1003,RE-78-863
20,BP-09,9BA,0,24,"MT1-Taller M1 ",MTY,10,Mack,3,Diesel,-1,No Registrado,0,No Registrado,1M2K189C4TM0085,RE-62-797
21,BP-14,EBA,0,19,M1-Apodaca,MTY,19,Volvo-White,3,Diesel,-1,No Registrado,1,No Registrado,1WXDCHB6GN11118,RG-01-501
22,CR-001_D,CR-1RA,1,25,MT2-Taller M2,MTY,17,Ramirez,3,Diesel,-1,No Registrado,0,No Registrado,1738,RE-62-669
23,CR-006_D,CR-6RA,1,25,MT2-Taller M2,MTY,19,Volvo-White,3,Diesel,-1,No Registrado,0,No Registrado,49641567,RE-62-673
24,CR-019,KRA,0,16,"M6-Juarez ",MTY,5,Famsa Internacional,3,Diesel,-1,No Registrado,0,No Registrado,20710,RD-69-274
26,CR-20,LRA,0,19,M1-Apodaca,MTY,9,Kenworth,3,Diesel,4,Estatal,1,No Registrado,463810,RE-78-878
27,CR-051_D,KRB,1,19,M1-Apodaca,MTY,4,Dina,3,Diesel,-1,No Registrado,0,No Registrado,NH471794,RD-69-285
28,CR-182,NRF,0,15,"M5-Santiago ",MTY,8,Internacional,3,Diesel,4,Estatal,1,No Registrado,NH471658,RE-62-798
29,CR-003,3RA,0,15,"M5-Santiago ",MTY,17,Ramirez,3,Diesel,4,Estatal,1,No Registrado,1138,RD-69-037
30,CR-12,CRA,0,7,M2-Escobedo,MTY,19,Volvo-White,3,Diesel,-1,No Registrado,0,No Registrado,49640939,RD-69-269
32,CR-030_D,CR-YRA,1,19,M1-Apodaca,MTY,19,Volvo-White,-1,No Registrado,-1,No Registrado,0,No Registrado,49641208,RE-78-671
33,CR-168,8RF,0,19,M1-Apodaca,MTY,2,Freghtliner,3,Diesel,4,Estatal,1,2013,3ALHC3DJ3EDFX5097,RE6233A
34,CR-044_D,CR-CRB,1,25,MT2-Taller M2,MTY,17,Ramirez,3,Diesel,-1,No Registrado,0,No Registrado,1675,RE-78-879
35,CR-051,KRB,0,8,"M3-Santa ",MTY,4,Dina,3,Diesel,-1,No Registrado,1,No Registrado,NH471820,RD-69-286
36,CR-002_D,CR-2RA,1,25,MT2-Taller M2,MTY,17,Ramirez,3,Diesel,4,Estatal,0,No Registrado,1745,RD-69-036
37,CR-009_D,CR-9RA,1,25,MT2-Taller M2,MTY,17,Ramirez,3,Diesel,-1,No Registrado,0,No Registrado,1260,RE-78-884
38,CR-120,RRD,0,7,M2-Escobedo,MTY,12,Mercedez Benz,3,Diesel,4,Estatal,1,No Registrado,3AM685115500329,RE-78-658
39,CR-018,JRA,0,11,"M4-Centro ",MTY,17,Ramirez,3,Diesel,-1,No Registrado,0,1973,1673,RE6876A
40,CR-031,ZRA,0,19,M1-Apodaca,MTY,19,Volvo-White,3,Diesel,-1,No Registrado,1,No Registrado,49641281,RH-81-054
41,CR-033_D,CR-1RB,1,25,MT2-Taller M2,MTY,9,Kenworth,3,Diesel,4,Estatal,0,No Registrado,465054,RD-58-229
42,CR-139,CR-BRE,0,14,G2-Zapopan,GDL,9,Kenworth,3,Diesel,4,Estatal,0,1996,,
43,CR-173,DRF,0,11,"M4-Centro ",MTY,2,Freghtliner,3,Diesel,4,Estatal,1,2013,3ALHCDJEDFX5102,RE-02-648
44,CR-093 XRC,,0,23,"L1-Leon ",LEON,10,Mack,-1,No Registrado,-1,No Registrado,0,No Registrado,NH471802,
45,CR-055,PRB,0,16,"M6-Juarez ",MTY,4,Dina,3,Diesel,-1,No Registrado,0,No Registrado,BB37530,RE-78-880
46,CR-061,XRB,0,18,"M7-Salinas ",MTY,4,Dina,-1,No Registrado,-1,No Registrado,1,No Registrado,612C3,RA-65-319
47,CR-076,CRC,0,19,M1-Apodaca,MTY,12,Mercedez Benz,3,Diesel,-1,No Registrado,0,No Registrado,3AM68511550030949,RE6895A
48,CR-063 ZRB,ZRB,0,34,A2-San Francisco,AGS,12,Mercedez Benz,3,Diesel,4,Estatal,1,No Registrado,,
49,KRF,KRF,0,20,"A1-Ojo Caliente ",AGS,4,Dina,3,Diesel,4,Estatal,1,1995,BB3753001843,RD-69-294
50,CR-008_D,CR-8RA,1,25,MT2-Taller M2,MTY,9,Kenworth,3,Diesel,-1,No Registrado,0,No Registrado,1XKAD29X3HJ3385,RE-62-798
51,CR-068 4RC,,0,23,"L1-Leon ",LEON,-1,No Registrado,-1,No Registrado,-1,No Registrado,0,No Registrado,31169,
52,CR-005,5RA,0,8,"M3-Santa ",MTY,17,Ramirez,3,Diesel,4,Estatal,0,No Registrado,1257,RD-69-038
54,CR-029,XRA,0,32,M8-Pesqueria,MTY,17,Ramirez,3,Diesel,4,Estatal,1,No Registrado,1739,RD-69-040
55,CR-041_D,CR-9RB,1,25,MT2-Taller M2,MTY,17,Ramirez,3,Diesel,-1,No Registrado,0,No Registrado,1302,RD-69-283
56,CR-073,9RC,0,11,"M4-Centro ",MTY,12,Mercedez Benz,3,Diesel,4,Estatal,0,No Registrado,3AM685115500311,RE-78-661
58,CR-079,FRC,0,16,"M6-Juarez ",MTY,12,Mercedez Benz,3,Diesel,13,SPF,1,1996,3AM685115500312,PW3520A
60,CR-237,DRH,0,11,"M4-Centro ",MTY,17,Ramirez,3,Diesel,-1,No Registrado,1,No Registrado,1070,RE-78-656
61,CR-104_D,CR-8RD,1,25,MT2-Taller M2,MTY,4,Dina,3,Diesel,-1,No Registrado,0,No Registrado,1913,RA-65-356
62,CR-066,CR-PRA,0,14,G2-Zapopan,GDL,12,Mercedez Benz,3,Diesel,4,Estatal,1,1996,3AM68511550031301,RE62667
63,CR-067,3RC,0,7,M2-Escobedo,MTY,12,Mercedez Benz,3,Diesel,-1,No Registrado,0,1996,3AM685115500310,RE6887A
64,CR-074_D,CR-ARC,1,25,MT2-Taller M2,MTY,12,Mercedez Benz,3,Diesel,4,Estatal,0,No Registrado,31149,RA-65-326
65,CR-075,BRC,0,19,M1-Apodaca,MTY,12,Mercedez Benz,3,Diesel,-1,No Registrado,1,No Registrado,30882,RA-65-327
66,BP-04,4BA,0,25,MT2-Taller M2,MTY,19,Volvo-White,3,Diesel,-1,No Registrado,0,No Registrado,49641751,RD-69-267
67,BP-08,8BA,0,19,M1-Apodaca,MTY,10,Mack,3,Diesel,4,Estatal,1,No Registrado,700656K,RE-62-670
68,BP-18,JBA,0,19,M1-Apodaca,MTY,10,Mack,3,Diesel,-1,No Registrado,1,No Registrado,4V2DMFJF9JU500547,RG-01-503
